SRR,Sample,Time,Treatment,Replicate,Study
SRR1216347,Liver,5dpf,Control,1,A
SRR1216348,Liver,5dpf,Control,2,A
SRR1216349,Liver,5dpf,nAtf6,1,A
SRR1216350,Liver,5dpf,EtOH,1,A
SRR1216351,Liver,5dpf,EtOH,2,A
SRR6170095,Liver,5dpf,Arsenic,1,B
SRR6170096,Liver,5dpf,Arsenic,2,B
SRR6170097,Liver,5dpf,Arsenic,3,B
SRR6170098,Liver,5dpf,Control,1,B
SRR6170099,Liver,5dpf,Control,2,B
SRR6170100,Liver,5dpf,Control,3,B
SRR1035237,Liver,5dpf,UHRF1,1,C
SRR1035238,Liver,5dpf,UHRF1,2,C
SRR1035239,Liver,5dpf,Control,1,C
SRR1035240,Liver,5dpf,Control,2,C
SRR6293903,BetaCells,3mpf,Control,1,D
SRR6293904,BetaCells,12mpf,Control,1,D
SRR6293905,BetaCells,12mpf,Control,2,D
SRR8255919,BetaCells,3mpf,Control,1,E
SRR8255920,BetaCells,3mpf,Control,2,E
SRR8255921,BetaCells,3mpf,il1b,1,E
SRR8255922,BetaCells,3mpf,il1b,2,E
SRR14213368,Skin,Adult,Control,1,F
SRR14213369,Spleen,Adult,Control,1,F
SRR14213370,Spleen,Adult,Control,2,F
SRR14213371,Spleen,Adult,Control,3,F
SRR14213372,Tail,Adult,Control,1,F
SRR14213373,Tail,Adult,Control,2,F
SRR14213374,Tail,Adult,Control,3,F
SRR14213375,Testis,Adult,Control,1,F
SRR14213376,Testis,Adult,Control,2,F
SRR14213377,Testis,Adult,Control,3,F
SRR14213378,Brain,Adult,Control,1,F
SRR14213379,Brain,Adult,Control,2,F
SRR14213380,Brain,Adult,Control,3,F
SRR14213381,Heart,Adult,Control,1,F
SRR14213382,Heart,Adult,Control,2,F
SRR14213383,Heart,Adult,Control,3,F
SRR14213384,Intestine,Adult,Control,1,F
SRR14213385,Intestine,Adult,Control,2,F
SRR14213386,Intestine,Adult,Control,3,F
SRR14213387,Liver,Adult,Control,1,F
SRR14213388,Liver,Adult,Control,2,F
SRR14213389,Liver,Adult,Control,3,F
SRR14213390,Muscle,Adult,Control,1,F
SRR14213391,Muscle,Adult,Control,2,F
SRR14213393,Skin,Adult,Control,2,F
SRR14213394,Skin,Adult,Control,3,F
SRR14213392,Muscle,Adult,Control,3,F
SRR14551645,SchwannCells,3dpf,Control,1,F
SRR14551646,SchwannCells,3dpf,Control,2,F
SRR14551647,SchwannCells,3dpf,Control,3,F
SRR14551648,OligoPrecursors,3dpf,Control,1,F
SRR14551649,OligoPrecursors,3dpf,Control,2,F
SRR14551650,OligoPrecursors,3dpf,Control,3,F
SRR14551651,Neuronal,3dpf,Control,1,G
SRR14551652,Neuronal,3dpf,Control,2,G
SRR14551653,Neuronal,3dpf,Control,3,G
ERR977576,BetaCells,Adult,Control,1,H
ERR977577,BetaCells,Adult,Control,2,H
ERR977578,BetaCells,Adult,Control,3,H
ERR977579,BetaCells,Adult,Control,4,H
ERR977586,SSTCells,Adult,Control,1,H
ERR977587,SSTCells,Adult,Control,2,H
ERR977588,SSTCells,Adult,Control,3,H
ERR977592,Acinar,Adult,Control,1,H
ERR977593,Acinar,Adult,Control,2,H
ERR977594,Acinar,Adult,Control,3,H
ERR977581,AlphaCells,Adult,Control,1,H
ERR977582,AlphaCells,Adult,Control,2,H
ERR977583,AlphaCells,Adult,Control,3,H
ERR1675931,Acinar,Adult,Control,4,H
